date,keyword,trend_score
2025/1/5,F1,18
2025/1/12,F1,17
2025/1/19,F1,18
2025/1/26,F1,18
2025/2/2,F1,17
2025/2/9,F1,18
2025/2/16,F1,27
2025/2/23,F1,30
2025/3/2,F1,28
2025/3/9,F1,61
2025/3/16,F1,90
2025/3/23,F1,63
2025/3/30,F1,49
2025/4/6,F1,60
2025/4/13,F1,70
2025/4/20,F1,50
2025/4/27,F1,48
2025/5/4,F1,55
2025/5/11,F1,41
2025/5/18,F1,66
2025/5/25,F1,66
2025/6/1,F1,55
2025/6/8,F1,46
2025/6/15,F1,63
2025/6/22,F1,66
2025/6/29,F1,99
2025/7/6,F1,93
2025/7/13,F1,51
2025/7/20,F1,60
2025/7/27,F1,77
2020/7/26,Formula 1,6
2020/8/2,Formula 1,10
2020/8/9,Formula 1,9
2020/8/16,Formula 1,8
2020/8/23,Formula 1,6
2020/8/30,Formula 1,9
2020/9/6,Formula 1,11
2020/9/13,Formula 1,9
2020/9/20,Formula 1,5
2020/9/27,Formula 1,7
2020/10/4,Formula 1,6
2020/10/11,Formula 1,7
2020/10/18,Formula 1,6
2020/10/25,Formula 1,8
2020/11/1,Formula 1,6
2020/11/8,Formula 1,6
2020/11/15,Formula 1,8
2020/11/22,Formula 1,5
2020/11/29,Formula 1,13
2020/12/6,Formula 1,11
2020/12/13,Formula 1,7
2020/12/20,Formula 1,3
2020/12/27,Formula 1,3
2021/1/3,Formula 1,3
2021/1/10,Formula 1,3
2021/1/17,Formula 1,3
2021/1/24,Formula 1,3
2021/1/31,Formula 1,3
2021/2/7,Formula 1,3
2021/2/14,Formula 1,3
2021/2/21,Formula 1,3
2021/2/28,Formula 1,3
2021/3/7,Formula 1,5
2021/3/14,Formula 1,5
2021/3/21,Formula 1,11
2021/3/28,Formula 1,16
2021/4/4,Formula 1,6
2021/4/11,Formula 1,8
2021/4/18,Formula 1,12
2021/4/25,Formula 1,8
2021/5/2,Formula 1,13
2021/5/9,Formula 1,10
2021/5/16,Formula 1,8
2021/5/23,Formula 1,11
2021/5/30,Formula 1,7
2021/6/6,Formula 1,14
2021/6/13,Formula 1,8
2021/6/20,Formula 1,13
2021/6/27,Formula 1,11
2021/7/4,Formula 1,11
2021/7/11,Formula 1,9
2021/7/18,Formula 1,13
2021/7/25,Formula 1,7
2021/8/1,Formula 1,12
2021/8/8,Formula 1,4
2021/8/15,Formula 1,4
2021/8/22,Formula 1,7
2021/8/29,Formula 1,14
2021/9/5,Formula 1,12
2021/9/12,Formula 1,10
2021/9/19,Formula 1,7
2021/9/26,Formula 1,10
2021/10/3,Formula 1,7
2021/10/10,Formula 1,10
2021/10/17,Formula 1,8
2021/10/24,Formula 1,12
2021/10/31,Formula 1,8
2021/11/7,Formula 1,16
2021/11/14,Formula 1,15
2021/11/21,Formula 1,11
2021/11/28,Formula 1,9
2021/12/5,Formula 1,23
2021/12/12,Formula 1,24
2021/12/19,Formula 1,4
2021/12/26,Formula 1,4
2022/1/2,Formula 1,4
2022/1/9,Formula 1,4
2022/1/16,Formula 1,3
2022/1/23,Formula 1,4
2022/1/30,Formula 1,4
2022/2/6,Formula 1,4
2022/2/13,Formula 1,5
2022/2/20,Formula 1,6
2022/2/27,Formula 1,5
2022/3/6,Formula 1,7
2022/3/13,Formula 1,15
2022/3/20,Formula 1,27
2022/3/27,Formula 1,19
2022/4/3,Formula 1,12
2022/4/10,Formula 1,15
2022/4/17,Formula 1,13
2022/4/24,Formula 1,15
2022/5/1,Formula 1,12
2022/5/8,Formula 1,19
2022/5/15,Formula 1,10
2022/5/22,Formula 1,17
2022/5/29,Formula 1,17
2022/6/5,Formula 1,9
2022/6/12,Formula 1,17
2022/6/19,Formula 1,15
2022/6/26,Formula 1,9
2022/7/3,Formula 1,23
2022/7/10,Formula 1,15
2022/7/17,Formula 1,9
2022/7/24,Formula 1,16
2022/7/31,Formula 1,14
2022/8/7,Formula 1,5
2022/8/14,Formula 1,5
2022/8/21,Formula 1,9
2022/8/28,Formula 1,14
2022/9/4,Formula 1,15
2022/9/11,Formula 1,12
2022/9/18,Formula 1,6
2022/9/25,Formula 1,8
2022/10/2,Formula 1,16
2022/10/9,Formula 1,11
2022/10/16,Formula 1,8
2022/10/23,Formula 1,14
2022/10/30,Formula 1,12
2022/11/6,Formula 1,8
2022/11/13,Formula 1,14
2022/11/20,Formula 1,8
2022/11/27,Formula 1,3
2022/12/4,Formula 1,3
2022/12/11,Formula 1,3
2022/12/18,Formula 1,3
2022/12/25,Formula 1,3
2023/1/1,Formula 1,3
2023/1/8,Formula 1,3
2023/1/15,Formula 1,3
2023/1/22,Formula 1,3
2023/1/29,Formula 1,4
2023/2/5,Formula 1,4
2023/2/12,Formula 1,4
2023/2/19,Formula 1,7
2023/2/26,Formula 1,14
2023/3/5,Formula 1,17
2023/3/12,Formula 1,11
2023/3/19,Formula 1,17
2023/3/26,Formula 1,10
2023/4/2,Formula 1,12
2023/4/9,Formula 1,6
2023/4/16,Formula 1,6
2023/4/23,Formula 1,10
2023/4/30,Formula 1,15
2023/5/7,Formula 1,15
2023/5/14,Formula 1,6
2023/5/21,Formula 1,9
