變數,迴歸係數 (Coefficient),P 值 (p-value),結論
是否比賽週,423.27,< 0.001,在地化賽事是銷售額的強力驅動因素
F1 趨勢分數,13.91,< 0.001,線上熱度與銷售額成正比
產品數量,3.09,0.707,影響不顯著，可能因與評論數相關性高
評論數,0.05,< 0.001,消費者互動有助於銷售增長
